generation	AC	ID	AuROC	roc_auc	AuPR	pr_auc	parent_AC	parent_ID	selected
4	cluster_4_G4_M1_C10	cluster_4_G4_M1_C10	0.7810503142832307	0.7811405439851693	0.7781115175247333	0.7767130743596086	cluster_4_G3_M1_C8	cluster_4_G3_M1_C8	1
4	cluster_4_G4_M4_C3	cluster_4_G4_M4_C3	0.7680704168235666	0.7681222663152102	0.7612854066592459	0.7595995324487544	cluster_4_G3_M4_C7	cluster_4_G3_M4_C7	1
4	cluster_4_G4_M3_C3	cluster_4_G4_M3_C3	0.7666544043101701	0.7661645859282218	0.7678745467188819	0.7652777647355494	cluster_4_G3_M2_C2	cluster_4_G3_M2_C2	1
4	cluster_4_G4_M3_C4	cluster_4_G4_M3_C4	0.7662161457579004	0.7657216927845204	0.7690363761319192	0.7667092094000911	cluster_4_G3_M2_C2	cluster_4_G3_M2_C2	1
4	cluster_4_G4_M3_C7	cluster_4_G4_M3_C7	0.7646634127972656	0.7641801118095182	0.7640750962675817	0.761766185635361	cluster_4_G3_M2_C2	cluster_4_G3_M2_C2	0
4	cluster_4_G4_M1_C7	cluster_4_G4_M1_C7	0.7631891782290064	0.7627024012976856	0.7610267834792762	0.7593906732192467	cluster_4_G3_M1_C8	cluster_4_G3_M1_C8	0
4	cluster_4_G4_M5_C5	cluster_4_G4_M5_C5	0.763034353908988	0.7625517770761521	0.7529345354641961	0.750847543204976	cluster_4_G3_M5_C8	cluster_4_G3_M5_C8	0
4	cluster_4_G4_M1_C9	cluster_4_G4_M1_C9	0.7629790284737715	0.7624926860353967	0.7623286925368301	0.7607207661593514	cluster_4_G3_M1_C8	cluster_4_G3_M1_C8	0
4	cluster_4_G3_M2_C2	cluster_4_G3_M2_C2	0.7613889291197173	0.7609027315123251	0.7643428626167996	0.761818904422699	cluster_4_G2_M3_C4	cluster_4_G2_M3_C4	0
4	cluster_4_G4_M1_C2	cluster_4_G4_M1_C2	0.7608272745705756	0.7603273180198706	0.7580852964090123	0.7564342005826178	cluster_4_G3_M1_C8	cluster_4_G3_M1_C8	0
4	cluster_4_G4_M1_C3	cluster_4_G4_M1_C3	0.7606135040407843	0.7606786779827941	0.7572866888379763	0.755993586026415	cluster_4_G3_M1_C8	cluster_4_G3_M1_C8	0
4	cluster_4_G4_M4_C4	cluster_4_G4_M4_C4	0.7598929699041218	0.7593947513252035	0.7602164698787555	0.7587165537420117	cluster_4_G3_M4_C7	cluster_4_G3_M4_C7	0
